id|atm_id|trans_date|bal
1927|5|2002-12-03|588
1928|5|2002-12-04|654
1929|5|2002-12-05|1057
1930|5|2002-12-06|795
1931|5|2002-12-07|942
1932|5|2002-12-08|670
1933|5|2002-12-09|484
1934|5|2002-12-10|638
1935|5|2002-12-11|1140
1936|5|2002-12-12|845
1937|5|2002-12-13|828
1938|5|2002-12-14|733
1939|5|2002-12-15|562
1940|5|2002-12-16|801
1941|5|2002-12-17|727
1942|5|2002-12-18|1034
1943|5|2002-12-19|2083
1944|5|2002-12-20|2545
1945|5|2002-12-21|1347
1946|5|2002-12-22|972
1947|5|2002-12-23|827
1948|5|2002-12-24|576
1949|5|2002-12-25|776
1950|5|2002-12-26|967
1951|5|2002-12-27|1137
1952|5|2002-12-28|995
1953|5|2002-12-29|994
1954|5|2002-12-30|691
1955|5|2002-12-31|647
1956|5|2003-01-01|1229
1957|5|2003-01-02|1648
1958|5|2003-01-03|2174
1959|5|2003-01-04|2151
1960|5|2003-01-05|905
1961|5|2003-01-06|595
1962|5|2003-01-07|503
1963|5|2003-01-08|557
1964|5|2003-01-09|670
1965|5|2003-01-10|814
1966|5|2003-01-11|733
1967|5|2003-01-12|624
1968|5|2003-01-13|466
1969|5|2003-01-14|448
1970|5|2003-01-15|512
1971|5|2003-01-16|678
1972|5|2003-01-17|976
1973|5|2003-01-18|718
1974|5|2003-01-19|566
1975|5|2003-01-20|523
1976|5|2003-01-21|530
1977|5|2003-01-22|713
1978|5|2003-01-23|738
1979|5|2003-01-24|682
1980|5|2003-01-25|752
1981|5|2003-01-26|502
1982|5|2003-01-27|698
1983|5|2003-01-28|587
1984|5|2003-01-29|662
1985|5|2003-01-30|695
1986|5|2003-01-31|960
1987|5|2003-02-01|570
1988|5|2003-02-02|478
1989|5|2003-02-03|459
1990|5|2003-02-04|290
1991|5|2003-02-05|12
1992|5|2003-02-06|320
1993|5|2003-02-07|549
1994|5|2003-02-08|593
1995|5|2003-02-09|349
1996|5|2003-02-10|150
1997|5|2003-02-11|320
1998|5|2003-02-12|534
1999|5|2003-02-13|766
2000|5|2003-02-14|1076
2001|5|2003-02-15|768
2002|5|2003-02-16|637
2003|5|2003-02-17|521
2004|5|2003-02-18|538
2005|5|2003-02-19|614
2006|5|2003-02-20|951
2007|5|2003-02-21|840
2008|5|2003-02-22|848
2009|5|2003-02-23|578
2010|5|2003-02-24|516
2011|5|2003-02-25|659
2012|5|2003-02-26|933
2013|5|2003-02-27|1045
2014|5|2003-02-28|1415
2015|5|2003-03-01|1073
2016|5|2003-03-02|756
2017|5|2003-03-03|650
2018|5|2003-03-04|631
2019|5|2003-03-05|748
2020|5|2003-03-06|1043
2021|5|2003-03-07|1019
2022|5|2003-03-08|960
2023|5|2003-03-09|747
2024|5|2003-03-10|600
2025|5|2003-03-11|682
2026|5|2003-03-12|873
2027|5|2003-03-13|1030
2028|5|2003-03-14|946
2029|5|2003-03-15|1139
2030|5|2003-03-16|844
2031|5|2003-03-17|731
2032|5|2003-03-18|772
2033|5|2003-03-19|729
2034|5|2003-03-20|1069
2035|5|2003-03-21|970
2036|5|2003-03-22|1222
2037|5|2003-03-23|724
2038|5|2003-03-24|636
2039|5|2003-03-25|680
2040|5|2003-03-26|727
2041|5|2003-03-27|1133
2042|5|2003-03-28|1153
2043|5|2003-03-29|1362
2044|5|2003-03-30|802
2045|5|2003-03-31|677
2046|5|2003-04-01|671
2047|5|2003-04-02|1048
2048|5|2003-04-03|1979
2049|5|2003-04-04|1361
2050|5|2003-04-05|1369
2051|5|2003-04-06|962
2052|5|2003-04-07|876
2053|5|2003-04-08|1067
2054|5|2003-04-09|1171
2055|5|2003-04-10|2374
2056|5|2003-04-11|3517
2057|5|2003-04-12|1938
2058|5|2003-04-13|1201
2059|5|2003-04-14|1156
2060|5|2003-04-15|2597
2061|5|2003-04-16|4058
2062|5|2003-04-17|5089
2063|5|2003-04-18|2167
2064|5|2003-04-19|1916
2065|5|2003-04-20|2451
2066|5|2003-04-21|2516
2067|5|2003-04-22|1761
2068|5|2003-04-23|2610
2069|5|2003-04-24|2693
2070|5|2003-04-25|3570
2071|5|2003-04-26|2589
2072|5|2003-04-27|1372
2073|5|2003-04-28|989
2074|5|2003-04-29|1655
2075|5|2003-04-30|1762
2076|5|2003-05-01|1410
2077|5|2003-05-02|2437
2078|5|2003-05-03|3085
2079|5|2003-05-04|1288
2080|5|2003-05-05|800
2081|5|2003-05-06|839
2082|5|2003-05-07|1131
2083|5|2003-05-08|1489
2084|5|2003-05-09|1533
2085|5|2003-05-10|1557
2086|5|2003-05-11|971
2087|5|2003-05-12|706
2088|5|2003-05-13|956
2089|5|2003-05-14|1108
2090|5|2003-05-15|1557
2091|5|2003-05-16|1694
2092|5|2003-05-17|1530
2093|5|2003-05-18|1023
2094|5|2003-05-19|776
2095|5|2003-05-20|895
2096|5|2003-05-21|1031
2097|5|2003-05-22|1715
2098|5|2003-05-23|2343
2099|5|2003-05-24|1686
2100|5|2003-05-25|1106
2101|5|2003-05-26|1109
2102|5|2003-05-27|2512
2103|5|2003-05-28|4024
2104|5|2003-05-29|2456
2105|5|2003-05-30|4086
2106|5|2003-05-31|3572
2107|5|2003-06-01|1263
2108|5|2003-06-02|98
2109|5|2003-06-03|117
2110|5|2003-06-04|136
2111|5|2003-06-05|1732
2112|5|2003-06-06|3780
2113|5|2003-06-07|2293
2114|5|2003-06-08|2605
2115|5|2003-06-09|1672
2116|5|2003-06-10|1269
2117|5|2003-06-11|1611
2118|5|2003-06-12|2876
2119|5|2003-06-13|4717
2120|5|2003-06-14|2799
2121|5|2003-06-15|1371
2122|5|2003-06-16|1120
2123|5|2003-06-17|1546
2124|5|2003-06-18|2157
2125|5|2003-06-19|2103
2126|5|2003-06-20|3046
2127|5|2003-06-21|2687
2128|5|2003-06-22|1029
2129|5|2003-06-23|105
2130|5|2003-06-24|137
2131|5|2003-06-25|126
2132|5|2003-06-26|1520
2133|5|2003-06-27|3792
2134|5|2003-06-28|3061
2135|5|2003-06-29|1844
2136|5|2003-06-30|1441
2137|5|2003-07-01|1361
2138|5|2003-07-02|2013
2139|5|2003-07-03|3543
2140|5|2003-07-04|5274
2141|5|2003-07-05|3807
2142|5|2003-07-06|2251
2143|5|2003-07-07|2426
2144|5|2003-07-08|1614
2145|5|2003-07-09|2499
2146|5|2003-07-10|4185
2147|5|2003-07-11|5777
2148|5|2003-07-12|4993
2149|5|2003-07-13|2726
2150|5|2003-07-14|2159
2151|5|2003-07-15|2301
2152|5|2003-07-16|1734
2153|5|2003-07-17|5419
2154|5|2003-07-18|6777
2155|5|2003-07-19|5806
2156|5|2003-07-20|3041
2157|5|2003-07-21|2094
2158|5|2003-07-22|2573
2159|5|2003-07-23|3586
2160|5|2003-07-24|5163
2161|5|2003-07-25|7722
2162|5|2003-07-26|5286
2163|5|2003-07-27|3003
2164|5|2003-07-28|2387
2165|5|2003-07-29|3285
2166|5|2003-07-30|5648
2167|5|2003-07-31|6738
2168|5|2003-08-01|8853
2169|5|2003-08-02|6695
2170|5|2003-08-03|3795
2171|5|2003-08-04|2731
2172|5|2003-08-05|2907
2173|5|2003-08-06|3738
2174|5|2003-08-07|5312
2175|5|2003-08-08|8678
2176|5|2003-08-09|5984
2177|5|2003-08-10|3037
2178|5|2003-08-11|2351
2179|5|2003-08-12|2866
2180|5|2003-08-13|3253
2181|5|2003-08-14|4704
2182|5|2003-08-15|4872
2183|5|2003-08-16|4340
2184|5|2003-08-17|2691
2185|5|2003-08-18|1990
2186|5|2003-08-19|2013
2187|5|2003-08-20|2606
2188|5|2003-08-21|4151
2189|5|2003-08-22|6106
2190|5|2003-08-23|4098
2191|5|2003-08-24|2233
2192|5|2003-08-25|1821
2193|5|2003-08-26|1976
2194|5|2003-08-27|2411
2195|5|2003-08-28|4160
2196|5|2003-08-29|5106
2197|5|2003-08-30|3715
2198|5|2003-08-31|2348
2199|5|2003-09-01|1573
2200|5|2003-09-02|1617
2201|5|2003-09-03|1966
2202|5|2003-09-04|2901
2203|5|2003-09-05|4500
2204|5|2003-09-06|2692
2205|5|2003-09-07|1065
2206|5|2003-09-08|94
2207|5|2003-09-09|117
2208|5|2003-09-10|106
2209|5|2003-09-11|1758
2210|5|2003-09-12|3797
2211|5|2003-09-13|2675
2212|5|2003-09-14|852
2213|5|2003-09-15|121
2214|5|2003-09-16|136
2215|5|2003-09-17|175
2216|5|2003-09-18|1506
2217|5|2003-09-19|2313
2218|5|2003-09-20|1907
2219|5|2003-09-21|877
2220|5|2003-09-22|147
2221|5|2003-09-23|150
2222|5|2003-09-24|120
2223|5|2003-09-25|1549
2224|5|2003-09-26|2517
2225|5|2003-09-27|1863
2226|5|2003-09-28|717
2227|5|2003-09-29|81
2228|5|2003-09-30|80
2229|5|2003-10-01|42
2230|5|2003-10-02|1322
2231|5|2003-10-03|2096
2232|5|2003-10-04|2556
2233|5|2003-10-05|1400
2234|5|2003-10-06|1192
2235|5|2003-10-07|979
2236|5|2003-10-08|1165
2237|5|2003-10-09|2247
2238|5|2003-10-10|2296
2239|5|2003-10-11|1812
2240|5|2003-10-12|1161
2241|5|2003-10-13|774
2242|5|2003-10-14|920
2243|5|2003-10-15|1012
2244|5|2003-10-16|1723
2245|5|2003-10-17|2165
2246|5|2003-10-18|1551
2247|5|2003-10-19|963
2248|5|2003-10-20|782
2249|5|2003-10-21|819
2250|5|2003-10-22|971
2251|5|2003-10-23|1235
2252|5|2003-10-24|1297
2253|5|2003-10-25|1058
2254|5|2003-10-26|844
2255|5|2003-10-27|1072
2256|5|2003-10-28|926
2257|5|2003-10-29|894
2258|5|2003-10-30|1325
2259|5|2003-10-31|1478
2260|5|2003-11-01|1298
2261|5|2003-11-02|810
2262|5|2003-11-03|656
2263|5|2003-11-04|657
2264|5|2003-11-05|741
2265|5|2003-11-06|1079
2266|5|2003-11-07|960
2267|5|2003-11-08|896
2268|5|2003-11-09|673
2269|5|2003-11-10|635
2270|5|2003-11-11|602
2271|5|2003-11-12|703
2272|5|2003-11-13|953
2273|5|2003-11-14|1322
2274|5|2003-11-15|946
2275|5|2003-11-16|676
2276|5|2003-11-17|586
2277|5|2003-11-18|592
2278|5|2003-11-19|661
2279|5|2003-11-20|1166
2280|5|2003-11-21|820
2281|5|2003-11-22|898
2282|5|2003-11-23|662
2283|5|2003-11-24|619
2284|5|2003-11-25|654
2285|5|2003-11-26|594
2286|5|2003-11-27|1150
2287|5|2003-11-28|816
2288|5|2003-11-29|945
2289|5|2003-11-30|652
2290|5|2003-12-01|799
2291|5|2003-12-02|589
2292|5|2003-12-03|743
2293|5|2003-12-04|1100
2294|5|2003-12-05|964
2295|5|2003-12-06|745
2296|5|2003-12-07|1148
2297|5|2003-12-08|681
2298|5|2003-12-09|613
2299|5|2003-12-10|678
2300|5|2003-12-11|838
2301|5|2003-12-12|1072
2302|5|2003-12-13|776
2303|5|2003-12-14|582
2304|5|2003-12-15|596
2305|5|2003-12-16|654
2306|6|2002-01-01|843
2307|6|2002-01-02|906
2308|6|2002-01-03|858
2309|6|2002-01-04|1051
2310|6|2002-01-05|1174
2311|6|2002-01-06|1058
2312|6|2002-01-07|811
2313|6|2002-01-08|893
2314|6|2002-01-09|957
2315|6|2002-01-10|997
2316|6|2002-01-11|1183
2317|6|2002-01-12|1273
2318|6|2002-01-13|1078
2319|6|2002-01-14|917
2320|6|2002-01-15|907
2321|6|2002-01-16|1009
2322|6|2002-01-17|1077
2323|6|2002-01-18|1197
2324|6|2002-01-19|1373
2325|6|2002-01-20|1111
2326|6|2002-01-21|884
2327|6|2002-01-22|930
2328|6|2002-01-23|945
2329|6|2002-01-24|990
2330|6|2002-01-25|1177
2331|6|2002-01-26|1336
2332|6|2002-01-27|1159
2333|6|2002-01-28|846
2334|6|2002-01-29|973
2335|6|2002-01-30|1019
2336|6|2002-01-31|1219
2337|6|2002-02-01|1255
2338|6|2002-02-02|1388
2339|6|2002-02-03|1123
2340|6|2002-02-04|897
2341|6|2002-02-05|1094
2342|6|2002-02-06|1062
2343|6|2002-02-07|1005
