Date,Close
1/21/2026,305.69
1/22/2026,306.03
1/23/2026,309.25
1/26/2026,312.95
1/27/2026,314.13
1/28/2026,312.8
1/29/2026,315.51
1/30/2026,315
2/2/2026,318.53
2/3/2026,319.48
2/4/2026,323.69
2/5/2026,323.48
2/6/2026,327.16
2/9/2026,325.6
2/10/2026,325.97
2/11/2026,323.21
2/12/2026,332.08
2/13/2026,327.58
2/17/2026,327.62
2/18/2026,327.89
2/19/2026,327.11
2/20/2026,329.23
2/23/2026,334.56
2/24/2026,333.05
2/25/2026,333.01
2/26/2026,334.53
2/27/2026,341.06
3/2/2026,334.82
3/3/2026,332.17
3/4/2026,331.74
3/5/2026,327.45
3/6/2026,328.06
3/9/2026,330.8
3/10/2026,327.94
3/11/2026,325.21
3/12/2026,323.91
3/13/2026,326.46
3/16/2026,326.65
3/17/2026,326.3
3/18/2026,315.73
3/19/2026,309.58
3/20/2026,308.85
3/23/2026,308.47
3/24/2026,307.84
3/25/2026,311.7
3/26/2026,308.93
3/27/2026,305.9
3/30/2026,308.53
3/31/2026,310.79
4/1/2026,307.29
4/2/2026,307.14
4/6/2026,309.76
4/7/2026,304.85
4/8/2026,307.01
4/9/2026,309.55
4/10/2026,305.68
4/13/2026,304.51
4/14/2026,303.22
4/15/2026,306.26
4/16/2026,306.96
4/17/2026,311.36
4/20/2026,306.94
4/21/2026,301.84
4/22/2026,300.07
4/23/2026,302.53
4/24/2026,299.36
4/27/2026,290.21
4/28/2026,292.39
4/29/2026,290.08
4/30/2026,293.59
5/1/2026,286.64
5/4/2026,284.1
5/5/2026,285.17
5/6/2026,284.1
5/7/2026,283.7
5/8/2026,275.75
5/11/2026,274.6
5/12/2026,274.84
5/13/2026,275.7
5/14/2026,274.97
5/15/2026,276.39
5/18/2026,282.47
5/19/2026,280.8
5/20/2026,280.27
5/21/2026,284.18
5/22/2026,282.27
5/26/2026,279.26
5/27/2026,280.92
5/28/2026,277.97
5/29/2026,279.2
6/1/2026,276.11
6/2/2026,276.36
6/3/2026,273.29
6/4/2026,272.72
6/5/2026,279.84
6/8/2026,277.78
6/9/2026,282.25
6/10/2026,282.52
6/11/2026,284.77
